 id |                      package_name                      
 747 | org.apache.logging.log4j.log4j-slf4j-impl
 751 | com.jtransc.jtransc-core
 753 | org.ow2.asm.asm-all
 754 | com.jtransc.jtransc-rt-core
 756 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.application.authentication.framework
 757 | org.wso2.carbon.org.wso2.carbon.utils
 758 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.base
 759 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.core
 760 | org.wso2.carbon.org.wso2.carbon.ui
 761 | org.wso2.carbon.org.wso2.carbon.core
 762 | org.wso2.carbon.org.wso2.carbon.logging
 763 | org.wso2.carbon.identity.framework.org.wso2.carbon.idp.mgt
 764 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.application.mgt
 765 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.application.common
 766 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.claim.metadata.mgt
 767 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.user.profile
 768 | commons-lang.wso2.commons-lang
 769 | commons-codec.wso2.commons-codec
 770 | org.wso2.eclipse.osgi.org.eclipse.osgi.services
 771 | org.apache.felix.org.apache.felix.scr.ds-annotations
 772 | org.wso2.orbit.org.apache.httpcomponents.httpclient
 775 | ${project.groupId}.google-cloud-core
(25 rows)

 id  |                             package_name                             
-----+----------------------------------------------------------------------
 776 | ${project.groupId}.google-cloud-core-grpc
 778 | io.grpc.grpc-netty-shaded
 779 | io.grpc.grpc-stub
 780 | io.grpc.grpc-auth
 786 | com.google.api.gax-grpc
 789 | org.jacoco.org.jacoco.agent
 790 | org.powermock.powermock-module-testng
 794 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.testutil
 795 | org.wso2.carbon.consent.mgt.org.wso2.carbon.consent.mgt.core
 797 | org.wso2.carbon.identity.framework.org.wso2.carbon.identity.event
 802 | org.apache.ant.ant
 803 | org.apache.ant.ant-junit
 804 | org.apache.ant.ant-launcher
 806 | commons-fileupload.commons-fileupload
